timeline,date,end_date,title,tier
Glenn,6/27/2019,,Cypress Point inspection response and signoff,1
Glenn,6/25/2019,,Patty got condo under contract,1
Glenn,6/22/2019,,Bandito Fest w/ Kearns and company,1
Glenn,6/22/2019,,Gifted Camry to Matt,1
Glenn,6/20/2019,,Inspection at E Cypress Point house,1
Glenn,6/18/2019,,Dr. Hirsch colonoscopy consult,1
Glenn,6/17/2019,,Omar custody hearing in Houma,1
Glenn,6/16/2019,,Blood,1
Glenn,6/14/2019,,Agreed on $200k for E Cypress Point house,1
Glenn,6/13/2019,,Weird Al in New Orleans,1
Glenn,6/13/2019,,Put in offer on E Cypress Point house,1
Glenn,6/10/2019,,Tennis with Deb,1
Glenn,6/8/2019,,Kate tennis tournament in New Orleans,1
Glenn,6/6/2019,,Minor flooding in BR,1
Glenn,6/5/2019,,First time looking at places with Patty,1
Glenn,6/3/2019,,Dinner with Deb,1
Glenn,6/2/2019,,Starting with single service at Vineyard,1
Glenn,5/30/2019,,Omar call about his divorce stuff,1
Glenn,5/28/2019,,Dr. Moraes,1
Glenn,5/27/2019,,Accepted second offer on house,1
Glenn,5/26/2019,,Two offers on the house,1
Glenn,5/24/2019,,House listed for sale,1
Glenn,5/23/2019,,Lunch with Jeremy,1
Glenn,5/23/2019,,First showing of house,1
Glenn,5/22/2019,,Edged and weeded at house,1
Glenn,5/20/2019,,Pressure washed driveway at house,1
Glenn,5/18/2019,,CYT Lafayette Newsies,1
Glenn,5/18/2019,,Party at Brickners,1
Glenn,5/13/2019,,Bought Buick for R,1
Glenn,5/12/2019,,Got copy of final divorce judgment in the mail,1
Glenn,5/11/2019,,First tennis match with Kate,1
Glenn,5/11/2019,,BLTs at Triche's,1
Glenn,5/10/2019,,Jana Latuso's wedding,1
Glenn,5/9/2019,,Flooding in BR,1
Glenn,5/7/2019,,Evanescence in New Orleans,1
Glenn,5/2/2019,5/9/2019,House painting,1
Glenn,5/1/2019,,Pilot final fail,1
Glenn,4/30/2019,,Switched Cox service to condo,1
Glenn,4/29/2019,,Judge signed divorce judgment,1
Glenn,4/27/2019,,First night in condo,1
Glenn,4/22/2019,,Lunch with Shawn at Chimes,1
Glenn,4/15/2019,,Corolla oil change,1
Glenn,4/15/2019,,Notre Dame Cathedral fire,1
Glenn,4/13/2019,,Fat Boy 5k - 24:57,1
Glenn,4/13/2019,4/14/2019,Houston trip for Michele's bday,1
Glenn,4/8/2019,,Lunch with Shawn at Salad Station,1
Glenn,4/4/2019,,Called and texted Shawn,1
Glenn,4/2/2019,,Lunch with Shawn and Deb,1
Glenn,4/2/2019,,Learned Bill no longer at GBS,1
Glenn,3/27/2019,,Started renting storage unit,1
Glenn,3/25/2019,,Started hauling down books from schoolroom,1
Glenn,3/23/2019,,Garage sale,1
Glenn,3/16/2019,,First dinner with Marcelos and Pierces,1
Glenn,3/16/2019,,Jeff Campbell died,1
Glenn,3/12/2019,,David doctor neck pain,1
Glenn,3/10/2019,,Sydney Walters Zydeco marathon,1
Glenn,3/5/2019,,"Taco Chops, Jones Creek Cafe oysters, bowling",1
Glenn,3/4/2019,,Signed final divorce papers,1
Glenn,3/3/2019,,"Movie with Jason Talbot, discussed divorce stuff",1
Glenn,2/25/2019,,Paperwork ready for me to sign for divorce,1
Glenn,2/24/2019,,Tazzy attacked by dog in neighborhood,1
Glenn,2/20/2019,,K emailed Christy Descant re: divorce stuff,1
Glenn,2/17/2019,2/24/2019,David circus school auditions in Canada,1
Glenn,2/17/2019,,Blood,1
Glenn,2/13/2019,,Meeting w/ lawyers re: Christin case,1
Glenn,2/7/2019,,Pizza party at Hiren's,1
Glenn,2/5/2019,,Started using Marco Polo app,1
Glenn,1/31/2019,,Dentist (Tallis),1
Glenn,1/27/2019,,Patty over to the house to assess,1
Glenn,1/26/2019,,Jeremy and Kim's wedding in CA,1
Glenn,1/22/2019,,Started Galacticast and rewatching the show,1
Glenn,1/22/2019,,Chris and Alexis broke up,1
Glenn,1/21/2019,,The fateful Saints game,1
Glenn,1/20/2019,,Talked with Lisette about divorce stuff after prayer time,1
Glenn,1/17/2019,,Told Patti Collins about K and me,1
Glenn,1/9/2019,1/13/2019,Dominican Republic trip,1
Glenn,12/23/2018,,Blood,1
Glenn,12/13/2018,,First Quarters Christmas party,1
Glenn,12/5/2018,,Matt ER visit for concussion symptoms,1
Glenn,12/3/2018,,Long chat with JoAnna,1
Glenn,12/3/2018,,Matt wreck in work truck,1
Glenn,12/1/2018,,Houston trip to see Michele's Christmas program,1
Glenn,11/30/2018,,Got Segway MiniLite,1
Glenn,11/29/2018,12/2/2018,CYT Peter Pan,1
Glenn,11/22/2018,,Connected with JoAnna Landry again: Landry reunion,1
Glenn,11/12/2018,,Stan Lee died,1
Glenn,11/10/2018,11/18/2018,Chris band tour (Weak Willed),1
Glenn,11/5/2018,,Brought Pilot to Team Honda,1
Glenn,11/3/2018,,Derrick and Lauren's wedding,1
Glenn,11/2/2018,11/3/2018,Houston trip for canceled men's retreat,1
Glenn,10/23/2018,,Corolla stuck in mud at Terry Jones's Bible study,1
Glenn,10/22/2018,,Got TSA Pre-Check approved,1
Glenn,10/17/2018,,"Set up SonicWall, three switches, backup battery at GBS",1
Glenn,10/10/2018,,Hurricane Michael made landfall in Florida,1
Glenn,10/10/2018,,"Lunch with Richard Felix, told about divorce stuff",1
Glenn,10/9/2018,,Dinner with Jenni and Byron in Dallas,1
Glenn,10/7/2018,,Blood,1
Glenn,10/2/2018,,GBS equipment installation,1
Glenn,10/2/2018,,Hard hit of passenger front tire in Corolla,1
Glenn,10/2/2018,,David learner's permit,1
Glenn,9/26/2018,,Applied for passport,1
Glenn,9/22/2018,,Ryan and Mikayla's wedding,1
Glenn,9/22/2018,,Taylor Swift concert,1
Glenn,9/1/2018,,Sold the Miata,1
Glenn,8/24/2018,,Told HOA board about divorce and selling house,1
Glenn,8/23/2018,,Stipulated judgment filed,1
Glenn,8/18/2018,,"Lost the Corolla key during run, fell and hit the street",1
Glenn,8/17/2018,,Bought the 2012 Toyota Corolla,1
Glenn,8/15/2018,,Miata died,1
Glenn,8/12/2018,,Meeting with K to decide stipulated agreement stuff,1
Glenn,8/5/2018,,Blood,1
Glenn,8/4/2018,,K told Michele J. about divorce stuff,1
Glenn,8/4/2018,,All proposed covenant changes passed,1
Glenn,8/4/2018,,Mosaic event at church,1
Glenn,8/3/2018,8/5/2018,K Houston trip,1
Glenn,8/1/2018,,Allie cat died,1
Glenn,7/30/2018,8/1/2018,Chris Warp Tour trip,1
Glenn,7/24/2018,,Received Kathy's answer to divorce petition,1
Glenn,7/22/2018,,Dr. Wharton,1
Glenn,7/19/2018,,Lunch with Deb,1
Glenn,7/15/2018,,Announcement at church of Jeremy as new pastor,1
Glenn,7/8/2018,,Messaged Deb about not discussing K or divorce any more,1
Glenn,7/7/2018,,Talked with K at house re: agreement on separation terms,1
Glenn,6/30/2018,,HOA general membership meeting,1
Glenn,6/22/2018,,Church board meeting to decide pastor,1
Glenn,6/22/2018,6/24/2018,Christin messaging weekend,1
Glenn,6/17/2018,6/18/2018,Mike & Liz Safford visit to church,1
Glenn,6/17/2018,6/18/2018,Destin,1
Glenn,6/17/2018,6/21/2018,David to CYT Expo,1
Glenn,6/16/2018,,Jeremy second interview,1
Glenn,6/13/2018,,Certified copy of divorce petition ready,1
Glenn,6/10/2018,,Blood,1
Glenn,6/2/2018,,Mike & Liz Safford second interview,1
Glenn,5/30/2018,,Signed petition for divorce,1
Glenn,5/24/2018,,Pastor search narrowed to Jeremy & Mike,1
Glenn,5/24/2018,5/27/2018,CYT Willy Wonka Jr.,1
Glenn,5/22/2018,,TPM session for Jeremy,1
Glenn,5/22/2018,,"Lunch with Dale, learned about Talbots",1
Glenn,5/21/2018,,Day off to catch up on GB Sciences project,1
Glenn,5/20/2018,,First call with Paul Brown re: divorce stuff,1
Glenn,5/19/2018,5/20/2018,Pastor search first round interviews,1
Glenn,5/12/2018,,First review / revision of divorce petition document,1
Glenn,5/11/2018,,"Lunch with Amanda, end of communications",1
Glenn,5/11/2018,,Review with Jim and 10% raise,1
Glenn,5/9/2018,,Amazing second TPM with Patrick,1
Glenn,5/2/2018,,First TPM with Patrick,1
Glenn,4/29/2018,,Jon Maurer announced he's leaving,1
Glenn,4/29/2018,,Won church bake-off!,1
Glenn,4/25/2018,,Started chats with Amanda Leonard,1
Glenn,4/20/2018,,John and Jessica Rumfellow's wedding,1
Glenn,4/15/2018,,Donated blood,1
Glenn,4/13/2018,4/15/2018,Houston vacation trip,1
Glenn,4/11/2018,,"Meeting with K, Susan and Deb",1
Glenn,4/10/2018,,Upgraded to Galaxy S9+,1
Glenn,4/10/2018,,Told Christin at work about divorce,1
Glenn,4/9/2018,,Told Barbara at work about divorce,1
Glenn,3/28/2018,,Mailed paperwork and check to retain Lorraine,1
Glenn,3/19/2018,,First meeting with family law atty Lorraine McCormick,1
Glenn,2/25/2018,,Told Laura McMorris about K moving out,1
Glenn,2/12/2018,,Lunch with JJ Safer,1
Glenn,2/11/2018,,Told John about K moving out,1
Glenn,2/10/2018,,David fractured ankle,1
Glenn,2/9/2018,,Set up new checking account at CFCU,1
Glenn,2/8/2018,,First coffee with Patrick Roberts,1
Glenn,2/3/2018,,Kathy moved out to apartment,1
Glenn,2/3/2018,,"Set up mom's printer, told her about K moving out",1
Glenn,1/31/2018,,Lunch with Leon on his last day at H&E,1
Glenn,1/22/2018,,Dr. Moraes,1
Glenn,1/21/2018,,Saw Lady Bird movie,1
Glenn,1/14/2018,,Louisiana Marathon in 4:19,1
Glenn,1/12/2018,,WW big bonus,1
Glenn,1/10/2018,,Lunch with Deb,1
Glenn,1/4/2018,1/7/2018,WW Vegas trip,1
Glenn,12/28/2017,,Bought the Hyundai Accent,1
Glenn,12/17/2017,,R date with Devonte,1
Glenn,12/14/2017,,Matt moved out to house in LSU area,1
Glenn,12/9/2017,,Second 20-miler on treadmill,1
Glenn,12/2/2017,,BR Beach Half in 1:50:23,1
Glenn,12/1/2017,,Shaved beard,1
Glenn,11/29/2017,,Sent HOA reminder letters,1
Glenn,11/27/2017,,Signed up for Louisiana Marathon,1
Glenn,11/23/2017,,"Saw ""The Man Who Invented Christmas""",1
Glenn,11/23/2017,,Thanksgiving at Uncle Kelly's,1
Glenn,11/22/2017,,Rebecca urgent care for stomach issues,1
Glenn,11/15/2017,,K bought Dyson vacuum cleaner for house,1
Glenn,11/8/2017,,Signed up for MoviePass membership,1
Glenn,11/8/2017,,Miata relay replaced so lights would turn off,1
Glenn,10/24/2017,,Flu shot,1
Glenn,10/24/2017,,Dr. Wharton checkup,1
Glenn,10/21/2017,,First 20-miler on treadmill,1
Glenn,10/19/2017,,13th Gate with Mike & Laura Kearns,1
Glenn,10/1/2017,,Donated blood,1
Glenn,9/28/2017,,Matt urgent care dehydration,1
Glenn,9/28/2017,,American Made Barry Seal midnight movie,1
Glenn,9/21/2017,9/24/2017,Second Houston relief trip Conroe TX,1
Glenn,9/10/2017,,Hurricane Irma hits Tampa,1
Glenn,9/7/2017,9/10/2017,Houston relief trip with Vineyard BR team,1
Glenn,9/5/2017,,17 miles on treadmill,1
Glenn,8/27/2017,,Hurricane Harvey hits Houston,1
Glenn,8/27/2017,,K meeting with Susan Raborn,1
Glenn,8/21/2017,,Full solar eclipse,1
Glenn,8/18/2017,8/21/2017,Tennessee trip with Dad and Aunt Cheryl,1
Glenn,7/30/2017,,Donated blood,1
Glenn,7/21/2017,,Sam Fry leaving to go back to NC,1
Glenn,7/1/2017,,K told kids about wanting to move out,1
Glenn,6/30/2017,7/3/2017,Texas road trip,1
Glenn,6/28/2017,6/29/2017,Mom hospital severe diverticulits episode,1
Glenn,6/26/2017,,BCBS offer and WW salary bump,1
Glenn,6/10/2017,,The first divorce talk,1
Glenn,6/9/2017,6/10/2017,New Orleans overnight trip for anniversary,1
Glenn,6/6/2017,,25th wedding anniversary,1
Glenn,6/2/2017,,Wonder Woman,1
Glenn,5/29/2017,,Donate blood,1
Glenn,5/29/2017,,Call with Brad Poret at BCBSLA,1
Glenn,5/25/2017,5/28/2017,CYT Wizard of Oz,1
Glenn,5/18/2017,,Roger Ailes died,1
Glenn,5/6/2017,,Chris accepted to go on tour,1
Glenn,5/1/2017,,Start WW health insurance (United Healthcare),1
Glenn,5/1/2017,,First email from BCBSLA recruiter,1
Glenn,4/24/2017,,Rebecca started at WW,1
Glenn,4/20/2017,4/23/2017,Uncle Gary and family visit to BR,1
Glenn,4/10/2017,,Surveillance camera set up,1
Glenn,4/8/2017,,Fat Boy 5K,1
Glenn,4/2/2017,,Honda Pilot back windshield shattered,1
Glenn,4/1/2017,,Donated blood,1
Glenn,3/26/2017,,Anna's Grace Quarter Marathon,1
Glenn,2/18/2017,,Talk w/ Kat re: 5 love languages,1
Glenn,2/14/2017,,Registered for Disney Marathon,1
Glenn,2/11/2017,,Mardi Gras Mambo,1
Glenn,2/6/2017,,Started work at WW again,1
Glenn,2/3/2017,,H&E health insurance terminated,1
Glenn,2/2/2017,,Fired from H&E,1
Glenn,1/31/2017,,Dr. Wharton annual physical,1
Glenn,1/19/2017,,Lunch w/ Scott,1
Glenn,1/18/2017,,The offending event,1
Glenn,1/15/2017,,Louisiana Half Marathon,1
Glenn,1/8/2017,,Received TPM - pride issue,1
Glenn,1/8/2017,,La La Land Golden Globes sweep,1
Glenn,1/5/2017,,Vivint Technician,1
Glenn,1/4/2017,,K met w/ Nicole,1
Glenn,1/2/2017,,Switched Matt's Camry to Geico,1
Glenn,1/1/2017,,Matt ER visit for strep-related issues,1
Glenn,1/1/2017,,First contact with JoAnna Landry,1
Glenn,12/29/2016,,Lunch w/ Leon re: struggle,1
Glenn,12/27/2016,,Really hard time with the obsession,1
Glenn,12/27/2016,,Carrie Fisher died,1
Glenn,12/26/2016,,Saw La La Land,1
Glenn,12/22/2016,,Neck / chest injury at GymFit,1
Glenn,12/20/2016,,Tires for Miata,1
Glenn,12/15/2016,12/19/2016,Kathy's trip to pick up R in Atlanta,1
Glenn,12/14/2016,,"Repentance and first ""end"" of obsession",1
Glenn,12/14/2016,,First marriage counselling with Jon,1
Glenn,12/13/2016,,Lightning strike at house,1
Glenn,12/12/2016,,Dr. Moraes,1
Glenn,12/9/2016,12/11/2016,CYT Beauty & the Beast,1
Glenn,12/3/2016,,BR Beach Marathon,1
Glenn,12/1/2016,,Lunch w/ Brady,1
Glenn,11/26/2016,,New running shoes (Saucony),1
Glenn,11/18/2016,11/20/2016,Houston trip,1
Glenn,11/17/2016,,Switched mobile data plan from 15 to 25 GB,1
Glenn,11/14/2016,,Miata spark plugs and wires,1
Glenn,11/14/2016,,HOA board approved collection agency,1
Glenn,11/13/2016,,Donate blood,1
Glenn,11/10/2016,,Miata insurance switched to Geico,1
Glenn,11/8/2016,,Trump elected president,1
Glenn,11/2/2016,,Dr. Moraes,1
Glenn,11/2/2016,,Chicago Cubs win World Series,1
Glenn,11/1/2016,,Dinner w/ Jeremy,1
Glenn,10/28/2016,,Patched Miata back passenger tire,1
Glenn,10/27/2016,,Sam and Ed summit meeting,1
Glenn,10/25/2016,,Lunch w/ Jeanne,1
Glenn,10/18/2016,,Lunch w/ Mike Kearns,1
Glenn,10/14/2016,10/16/2016,Backpacking Trip - Vineyard Men,1
Glenn,10/11/2016,,Mike the Tiger VI died,1
Glenn,10/8/2016,,Humana Free 5K,1
Glenn,9/28/2016,,Bought first inverted umbrella on Amazon,1
Glenn,9/25/2016,,Les Miles fired,1
Glenn,9/21/2016,,Lunch with Tyler Ferguson,1
Glenn,9/20/2016,,Geico coverage for Pilot,1
Glenn,9/20/2016,,Closed Chase bank account,1
Glenn,9/15/2016,,Tazzy's teeth cleaned,1
Glenn,9/14/2016,,Dinner with Phil Breland,1
Glenn,9/11/2016,,"Visited ""As One"" (Lifepoint) church",1
Glenn,9/11/2016,,Donated blood,1
Glenn,9/4/2016,,Shooting guns with Sam,1
Glenn,8/29/2016,,Focus Group at Maurice's company,1
Glenn,8/25/2016,8/28/2016,Navarre Beach Trip,1
Glenn,8/12/2016,8/14/2016,Great Flood of 2016,1
Glenn,8/12/2016,,Baton Rouge hotel overnight w/ Kathy,1
Glenn,8/10/2016,,Email to Kathy,1
Glenn,8/9/2016,,Lunch w/ Kristen & Jen,1
Glenn,8/9/2016,,Tri-Care Miata removed turn signal security device,1
Glenn,8/8/2016,,Chat with Vera on Omegle,1
Glenn,8/7/2016,,First coffee at Vineyard,1
Glenn,8/6/2016,,Gave my contact info to Catherine at Varsity run,1
Glenn,7/26/2016,,TPM w/ Juan,1
Glenn,7/17/2016,,Three police shot in Baton Rouge,1
Glenn,7/14/2016,,Lunch w/ Dennis Mitchell @ Jason's,1
Glenn,7/12/2016,7/14/2016,Rebecca's visit to BR during internship,1
Glenn,7/7/2016,,Dentist,1
Glenn,7/6/2016,,First decaf coffee at work,1
Glenn,7/6/2016,,Idea for anonymous text chat app,1
Glenn,7/4/2016,,David ran freedom mile in 6:45,1
Glenn,7/3/2016,,Blood donation,1
Glenn,6/27/2016,,TPM with Lorraine,1
Glenn,6/26/2016,,First TPM with Kevin,1
Glenn,6/24/2016,,Bought alto sax,1
Glenn,6/23/2016,,Britain votes to leave the European Union,1
Glenn,6/21/2016,,Person of Interest Finale party,1
Glenn,6/19/2016,,Bought treadmill from Sara,1
Glenn,6/18/2016,,HOA Annual Meeting,1
Glenn,6/12/2016,,First TPM with Tasha,1
Glenn,6/11/2016,,Night club massacre in Orlando,1
Glenn,6/11/2016,,Met Catherine on Varsity run,1
Glenn,6/9/2016,,PTO - back pain,1
Glenn,6/8/2016,,Sharon Stephens died,1
Glenn,6/8/2016,6/11/2016,CYT Joseph Technicolor Dreamcoat,1
Glenn,6/6/2016,,Rebecca left for internship with Garcias,1
Glenn,6/3/2016,,A/C compressor in Miata,1
Glenn,6/2/2016,,David France proposed for conservative pres candidate,1
Glenn,6/1/2016,,Met Sam Fry at Bible study picnic,1
Glenn,5/31/2016,,Matt fired from Crescendo,1
Glenn,5/30/2016,,Rebecca's graduation party,1
Glenn,5/28/2016,5/29/2016,CYT Seussical,1
Glenn,5/25/2016,,Limitless tv show cancelled,1
Glenn,5/22/2016,,First lunch w/ Sam Richardson,1
Glenn,5/20/2016,,Nick Danna's wedding,1
Glenn,5/18/2016,,Chromecast!,1
Glenn,5/16/2016,,Mailed out HOA invoices,1
Glenn,5/16/2016,,Jeremy's last certification TPM session,1
Glenn,5/12/2016,,K student violin recital,1
Glenn,4/29/2016,,Bought 2002 Camry from Cathy Elisar,1
Glenn,4/26/2016,,Lunch w/ Scott at The Salad Shop,1
Glenn,4/23/2016,,Donated blood,1
Glenn,4/21/2016,,Prince died,1
Glenn,4/18/2016,,Visit to Verma office,1
Glenn,4/18/2016,,Submitted claim for R phone,1
Glenn,4/16/2016,4/17/2016,Houston trip,1
Glenn,4/15/2016,,G Galaxy S7,1
Glenn,4/14/2016,,Cirque du Soleil Ovo,1
Glenn,4/13/2016,,Chris Camry wreck in New Orleans,1
Glenn,4/12/2016,,Lunch w/ Richard Felix,1
Glenn,4/12/2016,,"Learned about Gary Johnson, Libertarian candidate",1
Glenn,4/11/2016,,Started wart removal strips on finger,1
Glenn,4/9/2016,,Sub-24-minute Fat Boy 5K,1
Glenn,4/9/2016,,Discussed Verma with Mark Goodson,1
Glenn,3/15/2016,,Last day of TEDTalks on Netflix,1
Glenn,3/10/2016,3/12/2016,Huge rain storm through Louisiana,1
Glenn,2/28/2016,,First TPM evaluation session,1
Glenn,2/28/2016,,Nice TV hung in living room,1
Glenn,2/27/2016,,Donate blood,1
Glenn,2/23/2016,,Bought Honda Pilot,1
Glenn,2/23/2016,,Tornado at Gold's Gym,1
Glenn,2/21/2016,,Watched Expelled documentary with David,1
Glenn,2/13/2016,,Justice Antonin Scalia died,1
Glenn,2/10/2016,,Out sick with cold / sinus,1
Glenn,2/10/2016,3/27/2016,Lent without wheat or Facebook,1
Glenn,2/4/2016,,Appointments with dermatologist and Dr. Kami,1
Glenn,2/1/2016,,Recorded first video of myself talking,1
Glenn,2/1/2016,,Ted Cruz unexpectedly won Iowa caucuses,1
Glenn,1/31/2016,,Last day of Dr. Who on NetFlix,1
Glenn,1/30/2016,,Aaron Hogan's art exhibit,1
Glenn,1/24/2016,,David's first gymnastics tournament,1
Glenn,1/16/2016,4/16/2016,Apple Music Trial Period,1
Glenn,1/14/2016,,President Obama in Baton Rouge,1
Glenn,1/14/2016,,Alan Rickman died,1
Glenn,1/10/2016,,First healing room experience,1
Glenn,1/10/2016,,David Bowie died,1
Glenn,1/9/2016,,Jeanne's bench dedication,1
Glenn,1/7/2016,,Decision to look for next work,1
Glenn,1/2/2016,,Blood Donation,1
Glenn,12/29/2015,,King Buffet with David for his bday,1
Glenn,12/29/2015,,Brannon's arrest,1
Glenn,12/28/2015,,Tornado warning at 2:30am,1
Glenn,12/28/2015,,Lunch with Dennis Mitchell,1
Glenn,12/20/2015,,Jency's Heritage play,1
Glenn,12/17/2015,,Star Wars marathon,1
Glenn,12/13/2015,,Facilitated my first TPM session,1
Glenn,12/12/2015,,Light of Christmas choir event,1
Glenn,12/10/2015,,Matt's truck's engine burned up,1
Glenn,12/10/2015,,Patty selling accommodations biz,1
Glenn,12/9/2015,,HOA board meeting and mailbox runover,1
Glenn,12/5/2015,,Foto Sisters in BR,1
Glenn,12/4/2015,,Met Bart Yasso at BRBM expo,1
Glenn,12/3/2015,,First email to Daniel Todd at TimeToast,1
Glenn,12/2/2015,,iPad mini for the business,1
Glenn,12/1/2015,,First significant look at CHRONLINES competitors,1
Glenn,12/1/2015,,Heart of the Sea movie,1
Glenn,11/23/2015,,"Dr. Wharton - staph, itching",1
Glenn,11/20/2015,,Jeanne got the Hollydays board data analyst position,1
Glenn,11/17/2015,,Bobby Jindal suspends presidential bid,1
Glenn,11/16/2015,,Madeline's Oil @ LSU,1
Glenn,11/15/2015,,Wayne Watson concert at CBC Baton Rouge,1
Glenn,11/15/2015,,R Galaxy S6 Active,1
Glenn,11/15/2015,,Chris emergency room: reaction to meds,1
Glenn,11/13/2015,,ISIS terrorist attacks across Paris,1
Glenn,11/13/2015,,Toshiba Satellite laptop for business and personal stuff,1
Glenn,11/12/2015,,Bought Matt's truck,1
Glenn,11/11/2015,,Apple Music app on Android,1
Glenn,11/10/2015,,Jeremy Pleasant's first TPM training,1
Glenn,11/5/2015,,"""That Meeting"" with Stephen",1
Glenn,11/1/2015,,Fred Thompson died,1
Glenn,10/29/2015,11/1/2015,CYT Mary Poppins,1
Glenn,10/29/2015,,China ends one-child policy,1
Glenn,10/27/2015,,Lunch w/ Richard,1
Glenn,10/26/2015,,Sold the van to Pull-A-Part,1
Glenn,10/23/2015,,G cardiologist treadmill,1
Glenn,10/23/2015,,Hurricane Patricia hits Mexico,1
Glenn,10/21/2015,1/19/2016,Rhapsody 90-day trial,1
Glenn,10/19/2015,,K iPhone 6S arrived,1
Glenn,10/17/2015,,Chronlines.com online!,1
Glenn,10/16/2015,,Glenn flu shot,1
Glenn,10/13/2015,,Matt van wreck,1
Glenn,10/10/2015,,First tennis with Patty,1
Glenn,10/9/2015,,Followed EP release show,1
Glenn,10/9/2015,,Blood work ordered by cardiologist,1
Glenn,10/8/2015,,Registered chronlines.com,1
Glenn,10/8/2015,,Paul Prudhomme died,1
Glenn,10/6/2015,,McD's all day breakfast starts,1
Glenn,10/2/2015,,Jowetts prayer for apostolic gifting,1
Glenn,9/30/2015,,Russia started anti-ISIS operation in Syria,1
Glenn,9/27/2015,,Blood Moon,1
Glenn,9/25/2015,,Boehner announced resigning as Speaker,1
Glenn,9/25/2015,,1st VR w/ Google Cardboard app,1
Glenn,9/17/2015,9/19/2015,TPM Training,1
Glenn,9/16/2015,9/21/2015,Amy Grant Weekend,1
Glenn,9/16/2015,,G speeding citation in TX,1
Glenn,9/7/2015,,1st Vineyard morning prayer,1
Glenn,9/2/2015,9/15/2015,2 weeks without refined sugars,1
Glenn,8/23/2015,,Third TPM session as recipient,1
Glenn,8/12/2015,,First visit to Dr. Moraes (cardiologist),1
Glenn,8/9/2015,,K Camry wreck,1
Glenn,8/7/2015,8/9/2015,Wooten Weekend,1
Glenn,8/1/2015,,SQL Saturday - Calvin prezi,1
Glenn,7/30/2015,8/2/2015,K&R Senior Trip,1
Glenn,6/25/2015,9/25/2015,Spotify 90-day trial,1
Glenn,6/15/2015,,New starter in Miata,1
Glenn,5/26/2015,,C van accident,1
Glenn,1/30/2015,,Chris drivers license,1
Glenn,1/14/2015,,Matt Note 4,1
Glenn,11/30/2014,,Chris Note 4,1
Glenn,11/8/2014,,Bought the 1990 Miata,1
Glenn,7/6/2014,,Second TPM session as recipient,1
Glenn,5/18/2014,,First TPM session as recipient,1
Glenn,5/1/2014,,Rebecca license,1
Glenn,4/21/2014,,Terry Moore died,1
Glenn,2/25/2013,,Started at H&E,1
Glenn,4/18/2012,,Dick Clark died,1
Glenn,3/1/2009,,Kathy's dad died,1
Glenn,12/18/2007,,Bought 2007 Town & Country van,1
Glenn,5/30/2007,,Mrs. Gloria died,1
Glenn,10/31/2006,,Dad died,1
Glenn,11/13/2005,,Maw Maw Parrino died,1
