timeline,date,end_date,title,tier
Glenn,7/29/2023,8/2/2023,Vineyard Conference Trip,1
Glenn,7/13/2023,,Decoy reunion show,1
Glenn,6/29/2023,,Supreme Court struck down affirmative action in university admissions,1
Glenn,6/22/2023,,Kearns dinner at French Market Bistro,1
Glenn,6/21/2023,,Franz Ferdinand and Pixies concert in New Orleans,1
Glenn,6/3/2023,6/10/2023,Disney Trip,1
Glenn,6/2/2023,,"Matt court date, took deferred probation deal",1
Glenn,6/1/2023,,What Is A Woman? released on Twitter,1
Glenn,5/21/2023,,Scout's dance recital,1
Glenn,5/16/2023,5/21/2023,Penny's visit,1
Glenn,5/14/2023,,Mother's Day from Hell,1
Glenn,4/24/2023,,Tucker Carlson fired from Fox News,1
Glenn,4/24/2023,,Don Lemon fired from CNN,1
Glenn,4/23/2023,,BR Jazz Festival,1
Glenn,4/22/2023,,Dinner with Kearns @ Umami,1
Glenn,3/25/2023,,Symphony with L,1
Glenn,3/25/2023,,Jeremy & Kim farewell party,1
Glenn,3/22/2023,,Engaged!,1
Glenn,3/22/2023,,Mintopoly acquired by Pi Protocol,1
Glenn,3/19/2023,,Blood,1
Glenn,3/14/2023,,Jim's Hall of Fame award gala,1
Glenn,3/12/2023,,Kid's ministry volunteer lunch @ BRQ,1
Glenn,3/11/2023,,Wine tasting at Total Wine,1
Glenn,2/25/2023,,Dinner with Penny and Presley,1
Glenn,2/18/2023,,Spanishtown Parade,1
Glenn,2/17/2023,,R D,1
Glenn,2/15/2023,,Dr. Tallis filling reinforcement,1
Glenn,2/11/2023,,Mystique Parade,1
Glenn,2/10/2023,,Artemis Parade,1
Glenn,2/8/2023,,O R,1
Glenn,2/7/2023,,Dr. Tallis,1
Glenn,2/4/2023,,Spanishtown Ball,1
Glenn,1/27/2023,1/29/2023,Texas trip,1
Glenn,1/21/2023,,First time kids at L's for dinner,1
Glenn,1/17/2023,,Annual checkup with Bella,1
Glenn,1/4/2023,1/8/2023,Cabo with Lauren!,1
Glenn,1/2/2023,,L started job at Vineyard,1
Glenn,12/26/2022,,Blood,1
Glenn,12/17/2022,,"Dinner with L, Taylor, and Hannah",1
Glenn,12/3/2022,12/7/2022,L trip to Lexington for funeral,1
Glenn,12/1/2022,,Gene (cowboy) died,1
Glenn,11/22/2022,11/26/2022,Charleston Thanksgiving trip,1
Glenn,11/8/2022,,L unofficially offered church job,1
Glenn,11/8/2022,,2022 Midterm Elections,1
Glenn,11/7/2022,,L colonoscopy,1
Glenn,11/3/2022,,Dr. Grissom follow-up appt,1
Glenn,10/30/2022,11/2/2022,L flu,1
Glenn,10/29/2022,,Halloween parade 2022,1
Glenn,10/21/2022,,Istrouma Brewing with Brandi and Shannon,1
Glenn,10/17/2022,,"Group dinner with Kearns, Allen, Denise",1
Glenn,10/16/2022,,L interview with Vineyard board,1
Glenn,10/16/2022,,First time driving the girls without L,1
Glenn,10/16/2022,,First time babysitting Scout by herself,1
Glenn,9/29/2022,,Hurricane Ian hit Tampa,1
Glenn,9/29/2022,,L first meeting with Allen re: kids ministry,1
Glenn,9/15/2022,,First Mintopoly win! (Round 58),1
Glenn,9/15/2022,,Finished CHW 2nd ann event quest chain,1
Glenn,9/10/2022,,Bought Chris's Honda Civic,1
Glenn,9/8/2022,,Queen Elizabeth II died,1
Glenn,9/3/2022,9/5/2022,"Folsom Airbnb with L, Kearns, and Heather",1
Glenn,8/7/2022,,First kiss in church,1
Glenn,7/31/2022,,Isaac and Cat's wedding at Vineyard,1
Glenn,7/9/2022,7/13/2022,L in SC with girls,1
Glenn,7/1/2022,,Luke & Sierra wedding,1
Glenn,6/25/2022,,CHW hunt at LSU with New Orleans players,1
Glenn,6/24/2022,,Roe v Wade overturned,1
Glenn,6/19/2022,,Told Kearns about me and L at church,1
Glenn,6/18/2022,,"Volleyball at The Shed with L, Brandi, and Megan",1
Glenn,6/18/2022,,Derrick and Lauren May baby shower,1
Glenn,6/3/2022,6/7/2022,South Carolina trip with L,1
Glenn,5/29/2022,,Transferred 0.04 BTC and 0.44 ETH to Nano S,1
Glenn,5/29/2022,,Allen's first Sunday at Vineyard,1
Glenn,5/28/2022,,Pool party with L and girls,1
Glenn,5/26/2022,,L told Jimmy and girls about me,1
Glenn,5/25/2022,,Dermatologist froze hand warts,1
Glenn,5/22/2022,,Babysat Jeremy and Kim's baby with L,1
Glenn,5/21/2022,,First Hobby Lobby experience with L,1
Glenn,5/20/2022,,First club dancing with L,1
Glenn,5/17/2022,,L back to life group first time in years,1
Glenn,4/28/2022,,First Perkins Rowe concert,1
Glenn,4/22/2022,,"First Live After 5 with L, also Fran",1
Glenn,4/3/2022,,Matt bday at Geisha in Denham w/ Kathy,1
Glenn,4/3/2022,,Landon and Stacy candidate Sunday at Vineyard,1
Glenn,3/31/2022,,Cardiologist,1
Glenn,3/25/2022,3/28/2022,Vegas with family and L,1
Glenn,3/22/2022,,Third mining payout (about $350),1
Glenn,3/7/2022,,Michele's mom's funeral,1
Glenn,3/2/2022,3/6/2022,L's dad and Linda's visit,1
Glenn,2/26/2022,,Spanishtown parade with L,1
Glenn,2/15/2022,,Saw Jeremy and Kim's baby with L,1
Glenn,2/10/2022,,Dinner with Jenn and Byron in Dallas,1
Glenn,2/6/2022,,Venice virtual tour with Mom,1
Glenn,2/6/2022,,Alexis tested positive for COVID,1
Glenn,2/5/2022,,Filed tax returns for 2021,1
Glenn,1/30/2022,,Second mining payout (worth about $250),1
Glenn,1/28/2022,1/30/2022,Destin beach condo with L,1
Glenn,1/26/2022,,Second (and last) BioLife plasma donation,1
Glenn,1/22/2022,,Breakfast with Josh Higgins,1
Glenn,1/21/2022,,Another crypto crash,1
Glenn,1/18/2022,,Lunch with Deb,1
Glenn,1/17/2022,,First public lunch in BR with L,1
Glenn,1/16/2022,,First Sunday back at Vineyard,1
Glenn,1/15/2022,,Remembering Rob in New Orleans,1
Glenn,1/12/2022,,L's divorce finalized,1
Glenn,1/8/2022,,"Dawn Meng memorial service, first time back at Vineyard",1
Glenn,1/5/2022,,Crypto crash,1
Glenn,12/31/2021,,My first COVID symptoms,1
Glenn,12/28/2021,,L tested positive for COVID,1
Glenn,12/27/2021,,Dr. Bella annual checkup,1
Glenn,12/27/2021,,Flu shot,1
Glenn,12/24/2021,,L first Chrismas Eve with my family,1
Glenn,12/18/2021,,First time donating plasma at BioLife,1
Glenn,12/10/2021,,"First mining payout from Hive, 0.1 ETH, worth about $385",1
Glenn,12/10/2021,12/12/2021,Hot Springs with L,1
Glenn,10/30/2021,,Lunch with Steve and Brandi at Geisha,1
Glenn,10/13/2021,,Appt with Dr. Grissom,1
Glenn,10/9/2021,,Set up crypto mining rig and accts and started mining ETH,1
Glenn,10/7/2021,,Got motherboard and CPU for crypto mining rig,1
Glenn,9/17/2021,9/19/2021,V Weekend,1
Glenn,9/15/2021,,"Ran Ethernet cable into bedroom, set up WiFi",1
Glenn,9/12/2021,,Modded Beat Saber,1
Glenn,9/5/2021,,First movie in town with L (Shang-Chi),1
Glenn,9/5/2021,,Got first GPU for crypto mining,1
Glenn,8/29/2021,,Hurricane Ida,1
Glenn,8/4/2021,,Mask mandate started again in Louisiana,1
Glenn,7/30/2021,8/1/2021,Destin,1
Glenn,7/16/2021,7/18/2021,Weekend at Jessica's,1
Glenn,6/19/2021,,Edible,1
Glenn,5/14/2021,5/16/2021,Great staycation weekend,1
Glenn,4/30/2021,5/2/2021,Tampa trip to visit Robicheaux's,1
Glenn,4/30/2021,,"Killed Anakim 6th time, opened Paradise Lost portal",1
Glenn,4/17/2021,,Dinner with L and Mom,1
Glenn,4/14/2021,,L COVID vaccine 2nd shot,1
Glenn,4/12/2021,,L first day at Basis,1
Glenn,4/12/2021,,Test drive of 2019 Corolla,1
Glenn,4/10/2021,,Tree branch through Jimmy's roof,1
Glenn,3/31/2021,,First time to kill Anikin the Abominable In Death: Unchained,1
Glenn,3/21/2021,,L New Orleans AirBnB,1
Glenn,3/17/2021,3/20/2021,Vegas trip,1
Glenn,3/14/2021,,First puzzle time-lapse video,1
Glenn,3/11/2021,,Visit with Fran,1
Glenn,3/7/2021,,La Half Marathon,1
Glenn,3/7/2021,,Tennis with L,1
Glenn,2/28/2021,,James Phillips died,1
Glenn,2/28/2021,,Tennis with Patty and Kate,1
Glenn,2/27/2021,,Sozo training at Cedar House,1
Glenn,2/25/2021,2/28/2021,L's dad and stepmom visiting,1
Glenn,2/21/2021,,Hike at Comite River Park,1
Glenn,2/15/2021,2/16/2021,Ice Storm 2021,1
Glenn,2/3/2021,,Third UTR tennis match,1
Glenn,2/3/2021,,Oculus Quest 2,1
Glenn,2/1/2021,,Bought first partial Bitcoin (1/100th) for $350,1
Glenn,1/31/2021,,Decided to leave Vineyard for Cedar House,1
Glenn,1/31/2021,,Second UTR tennis match,1
Glenn,1/24/2021,,First UTR tennis match,1
Glenn,1/24/2021,,My stupid political arg with L,1
Glenn,1/23/2021,1/24/2021,"New Orleans weekend, Brent House hotel",1
Glenn,1/19/2021,,Tennis with L,1
Glenn,1/17/2021,,Tunica Hills,1
Glenn,1/17/2021,,Started living trust on LegalZoom,1
Glenn,1/10/2021,,Lafayette day trip,1
Glenn,1/2/2021,,Wilderness 10 Miler,1
Glenn,12/26/2020,,St. Francisville first Airbnb stay,1
Glenn,12/24/2020,,Oculus Quest and Beat Saber,1
Glenn,12/20/2020,,Bike 11 miles on levee,1
Glenn,12/18/2020,,Foto Sisters @ First Baptist BR,1
Glenn,12/17/2020,,First bath,1
Glenn,12/17/2020,,Negative COVID test,1
Glenn,12/15/2020,,L closed on her house,1
Glenn,12/13/2020,,First shower,1
Glenn,12/13/2020,,"Visit with Trish, exposed to COVID",1
Glenn,12/11/2020,12/13/2020,Presley's visit,1
Glenn,12/9/2020,,Corolla oil leak fixed at Simple Simon,1
Glenn,12/9/2020,,R first time getting L's girls,1
Glenn,12/8/2020,,Corolla recall fix at Price Leblanc,1
Glenn,12/7/2020,,First sleepover,1
Glenn,12/3/2020,,L moved into her new house,1
Glenn,12/1/2020,,L fridge and grill delivered to new house,1
Glenn,11/26/2020,,Thanksgiving at Patty's,1
Glenn,11/22/2020,,Ran 1.5 miles first time since foot injury,1
Glenn,11/22/2020,,52nd birthday: best yet!,1
Glenn,11/20/2020,11/22/2020,Kate state tennis tournament,1
Glenn,11/17/2020,,Men's Bible study fruit of the Spirit - Love,1
Glenn,11/15/2020,,Furniture shopping,1
Glenn,11/15/2020,,L told the girls about R keeping them,1
Glenn,11/15/2020,,First time visiting Cedar House Church,1
Glenn,11/14/2020,,12-mile bike ride,1
Glenn,11/14/2020,,Visit to Fran's,1
Glenn,11/3/2020,,Election Day 2020,1
Glenn,11/3/2020,,Dinner with Mom at Albasha,1
Glenn,10/28/2020,,Hurricane Zeta,1
Glenn,10/25/2020,,"Tennis with Patty, twisted ankle",1
Glenn,10/24/2020,,L & J told the girls,1
Glenn,10/22/2020,,Saw house L put offer on,1
Glenn,10/17/2020,,Tennis with Patty and Kate,1
Glenn,10/16/2020,,Spirit and Life Night,1
Glenn,10/14/2020,,Used bike rack for first time,1
Glenn,10/11/2020,,Northshore 10K,1
Glenn,10/10/2020,,L camping trip,1
Glenn,10/9/2020,,Hurricane Delta,1
Glenn,10/7/2020,,First time cooking and playing piano for L,1
Glenn,10/7/2020,,Bought Mongoose bike,1
Glenn,9/21/2020,9/24/2020,Vegas trip,1
Glenn,9/12/2020,,"Picnic with L, Jimmy's bday",1
Glenn,9/10/2020,,L & J meeting with Ann,1
Glenn,9/2/2020,,Dinner with Mom at Albasha,1
Glenn,8/27/2020,,Hurricane Laura,1
Glenn,8/14/2020,,Lunch with Patty at Albasha,1
Glenn,8/7/2020,,"L visit at house, banana muffins!",1
Glenn,8/4/2020,,L evening visit at the house,1
Glenn,8/2/2020,,Tennis with Patty,1
Glenn,8/1/2020,,Walk in Lake Sherwood,1
Glenn,7/31/2020,,Call with Jeremy re: L,1
Glenn,7/24/2020,,Dr. Bella,1
Glenn,7/22/2020,,Dinner with Mom at Ichiban,1
Glenn,7/20/2020,,??? No,1
Glenn,7/19/2020,,L evening visit at the house,1
Glenn,7/10/2020,7/12/2020,Columbia,1
Glenn,7/2/2020,7/19/2020,L vacation,1
Glenn,6/27/2020,,L laundry at house,1
Glenn,6/24/2020,,Tornado in our neighborhood,1
Glenn,6/23/2020,,Met L before she went to Kim's,1
Glenn,6/22/2020,,First lunch with Brian Ainsworth,1
Glenn,6/22/2020,,L first day in classroom with kids,1
Glenn,6/20/2020,,"Picked up L after skating, hung out at the mall",1
Glenn,6/19/2020,,L after work @ home,1
Glenn,6/18/2020,,Dinner with Mom at La Contea,1
Glenn,6/17/2020,,"Lauren started her job at LSU preschool, met up after",1
Glenn,6/13/2020,,Tennis with Patty,1
Glenn,6/12/2020,,First visit to Fran's house in Livingston,1
Glenn,6/10/2020,,Hangout with L at the park,1
Glenn,6/9/2020,,L picked up boxes at the house,1
Glenn,6/7/2020,,Picked up L and drove around a bit,1
Glenn,6/3/2020,,Visit with Lauren at WW,1
Glenn,5/31/2020,,Saw Lauren after church,1
Glenn,5/30/2020,,Tennis with Kate,1
Glenn,5/30/2020,,Call with Lauren,1
Glenn,5/28/2020,,Refinanced Cypress Point from 15 to 10 year loan,1
Glenn,5/24/2020,,First church service after lockdown,1
Glenn,5/23/2020,,Call with Lauren to discuss church,1
Glenn,5/20/2020,,Installed jigsaw puzzle app on phone,1
Glenn,5/20/2020,,Corolla battery replaced,1
Glenn,5/18/2020,,Patty sold her stake in the business to Jewel,1
Glenn,5/16/2020,,First official Varsity run after easing of lockdown,1
Glenn,5/2/2020,,Patty finally beat me in a set of tennis!,1
